g_partei,g_art,g_nr
FDP, Postulat,31
GLP, Postulat,31
SP, Postulat,31
Grüne, Postulat,15
SVP, Postulat,13
EVP, Postulat,9
CVP, Postulat,6
BDP, Postulat,3
AL, Postulat,2
SVP, Parlamentarische Initiative,33
FDP, Parlamentarische Initiative,17
SP, Parlamentarische Initiative,15
Grüne, Parlamentarische Initiative,9
GLP, Parlamentarische Initiative,6
EDU, Parlamentarische Initiative,5
AL, Parlamentarische Initiative,3
Energie, Parlamentarische Initiative,3
CVP, Parlamentarische Initiative,2
EVP, Parlamentarische Initiative,2
BDP, Parlamentarische Initiative,1
CSP, Parlamentarische Initiative,1
GLP, Motion,14
SVP, Motion,13
SP, Motion,12
Grüne, Motion,9
FDP, Motion,8
AL, Motion,3
EVP, Motion,3
BDP, Motion,2
CVP, Motion,2
EDU, Motion,1
SP, Interpellation,25
SVP, Interpellation,15
FDP, Interpellation,9
Grüne, Interpellation,7
AL, Interpellation,3
BDP, Interpellation,1
EVP, Interpellation,1
Zürich, Geschäftsbericht,4
SP, Einzelinitiative,1
SP, Dringliches Postulat,7
SVP, Dringliches Postulat,6
FDP, Dringliches Postulat,5
GLP, Dringliches Postulat,3
Grüne, Dringliches Postulat,2
AL, Dringliches Postulat,1
CVP, Dringliches Postulat,1
EDU, Dringliches Postulat,1
SVP, Dringliche Anfrage,15
SP, Dringliche Anfrage,12
FDP, Dringliche Anfrage,7
GLP, Dringliche Anfrage,5
Grüne, Dringliche Anfrage,3
EDU, Dringliche Anfrage,2
AL, Dringliche Anfrage,1
BDP, Dringliche Anfrage,1
CVP, Dringliche Anfrage,1
SVP, Anfrage,235
SP, Anfrage,131
FDP, Anfrage,130
Grüne, Anfrage,87
GLP, Anfrage,50
EDU, Anfrage,48
EVP, Anfrage,41
AL, Anfrage,40
CVP, Anfrage,31
BDP, Anfrage,14
CSP, Anfrage,3
