g_erst,g_art,g_nr,g_name
"Pfalzgraf Hannah (SP, Mettmenstetten)", Parlamentarische Initiative,382/2018,"Bürgerrecht, schnellere Integration dank tieferen Ein-bürgerungshürden für junge Erwachsene"
"Schmid Claudio (SVP, Bülach)", Parlamentarische Initiative,368/2018,Sozialdetektive sollen neu auf GPS-Tracker zurückgreifen dürfen
"Amrein Hans-Peter (SVP, Küsnacht)", Parlamentarische Initiative,359/2018,Unterhalt von Beförderungsanlagen
"Berger Antoine (FDP, Kilchberg)", Parlamentarische Initiative,358/2018,Grünflächenbonus
"Steiner Kathy (Grüne, Zürich)", Parlamentarische Initiative,357/2018,Standesinitiative zur Kompetenzübertragung an Kantone für Arbeitsbewilligungsverlängerung von Asylsuchenden mit Negativentscheid
"Amrein Hans-Peter (SVP, Küsnacht)", Parlamentarische Initiative,301/2018,Festlegung der Höhe der Notariatsgebühren
"Kündig Jörg (FDP, Gossau)", Parlamentarische Initiative,300/2018,Abgrenzung Ressourcenausgleich
"Bourgeois Marc (FDP, Zürich)", Parlamentarische Initiative,288/2018,"Politisch und konfessionell neutrales öffentliches Bildungswesen, neutrale Lehrmittel und ausgewogene unterrichtsergänzende Angebote"
"Balmer-Schiltknecht Bettina (FDP, Zürich)", Parlamentarische Initiative,287/2018,Politische Neutralität bei Lehrmitteln für die Volksschule
"Langhart Konrad (SVP, Oberstammheim)", Parlamentarische Initiative,286/2018,Keine Gebühren für die obligatorische Fahrzeugkontrolle
"Marty Maria Rita (EDU, Volketswil)", Parlamentarische Initiative,285/2018,Schutz der Öffentlichkeit vor gefährlichen Straftätern
"Marty Maria Rita (EDU, Volketswil)", Parlamentarische Initiative,284/2018,Zwingende Prüfung der Verwahrung bei Sexualdelikten an Kindern und urteilsunfähigen Personen
"Marty Maria Rita (EDU, Volketswil)", Parlamentarische Initiative,283/2018,"Kein Mengenrabatt für Sexualdelikte, schwere Vergehen und Verbrechen"
, Parlamentarische Initiative,273/2018,Mitteilungen von Verwaltungsgerichtsentscheiden
"Galeuchet David John (Grüne, Bülach)", Parlamentarische Initiative,233/2018,Klimaschutz: Desinvestition der ZKB aus fossilen Investitionen
"Bloch Beat (CSP, Zürich)", Parlamentarische Initiative,232/2018,Klimaschutz: Schutzartikel in die Verfassung
"Brunner Robert (Grüne, Steinmaur)", Parlamentarische Initiative,231/2018,Klimaschutz: Standesinitiative zur Einführung einer wirk-samen Kerosinsteuer
"Schmid Claudio (SVP, Bülach)", Parlamentarische Initiative,230/2018,Bewilligungsverfahren in Tierversuchen
"Langhart Konrad (SVP, Oberstammheim)", Parlamentarische Initiative,213/2018,Standesinitiative - Nicht noch mehr Arbeitslosengelder für Grenzgänger
"Schmid Stefan (SVP, Niederglatt)", Parlamentarische Initiative,194/2018,"Bürgerrecht, Erhöhung von Ordnung und Sicherheit"
"Schmid Stefan (SVP, Niederglatt)", Parlamentarische Initiative,193/2018,"Bürgerrecht, Erhöhung wirtschaftlicher Selbsterhalt"
"Schmid Stefan (SVP, Niederglatt)", Parlamentarische Initiative,192/2018,Bedingungsloser Abzug der Verpflegungsmehrkosten
"Pfister Ulrich (SVP, Egg)", Parlamentarische Initiative,191/2018,"Bürgerrecht, Erhöhung Sprachkompetenzen"
"Pfister Ulrich (SVP, Egg)", Parlamentarische Initiative,190/2018,"Bürgerrecht, Erhöhung Wohnsitzfristen"
"Langhart Konrad (SVP, Oberstammheim)", Parlamentarische Initiative,159/2018,Moratorium für das E-Voting
"Schmid Claudio (SVP, Bülach)", Parlamentarische Initiative,149/2018,Strafverfolgungsbehörden können in gewissen Fällen eine Kaution verlangen
"Koller Prisca (FDP, Hettlingen)", Parlamentarische Initiative,148/2018,Vereinbarkeit fördern: Weiterbildungstage immer während der unterrichtsfreien Zeit
"Marty Maria Rita (EDU, Volketswil)", Parlamentarische Initiative,147/2018,Änderung des Schweizerischen Strafgesetzbuches mittels Standesinitiative
"Lais Ruedi (SP, Wallisellen)", Parlamentarische Initiative,118/2018,Korrektur der falschen Rundung bei der Oberzuteilung im Proporzwahlverfahren
"Fehr Düsel Nina (SVP, Küsnacht)", Parlamentarische Initiative,109/2018,Änderung des Polizeigesetzes betreffend umgehende Räumung von Hausbesetzungen
"Guyer Esther (Grüne, Zürich)", Parlamentarische Initiative,108/2018,Vertrauen in die Abstimmungs- und Wahlresultate als Grundlage der Demokratie sichern
"Widmer Céline (SP, Zürich)", Parlamentarische Initiative,101/2018,Weniger Hürden beim Öffentlichkeitsprinzip
"Wiederkehr Josef (CVP, Dietikon)", Parlamentarische Initiative,91/2018,Gesamtheitliche Betrachtungsweise der Förderung erneuerbarer Energien
"Gehrig Sonja (GLP, Urdorf)", Parlamentarische Initiative,70/2018,Stimmrechtsalter 16 auf Anfrage
"Dünki-Bättig Michèle (SP, Glattfelden)", Parlamentarische Initiative,63/2018,Geschlechterquoten auf Wahllisten
"Amrein Hans-Peter (SVP, Küsnacht)", Parlamentarische Initiative,50/2018,Standesinitiative für ein Schliessungsmoratorium für Poststellen bis zum Vorliegen und der Genehmigung einer gesamtschweizerischen Poststellenplanung
"Schmid Claudio (SVP, Bülach)", Parlamentarische Initiative,36/2018,Keine doppelte Staatsbürgerschaft (bestimmter Staaten) bei Angehörigen der Kantonspolizei
"Schmid Claudio (SVP, Bülach)", Parlamentarische Initiative,35/2018,Keine Sonderstellung der beiden Städte Zürich und Winterthur
"Truninger René (SVP, Illnau-Effretikon)", Parlamentarische Initiative,34/2018,Keine Steuergelder für Abstimmungskämpfe durch Behörden
"Häuptli Daniel (GLP, Zürich)", Parlamentarische Initiative,33/2018,Fertig mit dem Steuererklärungs-Chrüsimüsi: 5 Jahre Steuerbefreiung für neu gegründete Unternehmen
"Hauser Matthias (SVP, Hüntwangen)", Parlamentarische Initiative,27/2018,Abbau von Nettovermögen im neuen Gemeindegesetz
"Tognella-Geertsen Birgit (SP, Zürich)", Parlamentarische Initiative,26/2018,Gesetz über die kantonalen Ergänzungsleistungen für Familien ohne existenzsicherndes Einkommen
"Hugentobler Hanspeter (EVP, Pfäffikon)", Parlamentarische Initiative,10/2018,Personelle Unterstützung für Kindergärten mit immer jüngeren Kindern
"Alder Ronald (GLP, Ottenbach)", Parlamentarische Initiative,360/2017,Beschränkung der Kosten für Gemeinden (Gesundheitsgesetz-Notfalldienst)
"Ziegler Christoph (GLP, Elgg)", Parlamentarische Initiative,359/2017,Wahlfreiheit statt Zwang im Gesundheitsgesetz
"Häuptli Daniel (GLP, Zürich)", Parlamentarische Initiative,358/2017,Öffentliche Ausschreibung der Triagestelle (Gesundheitsgesetz)
