year,g_art,beteiligte
1987, Parlamentarische Initiative,12
1988, Parlamentarische Initiative,7
1989, Parlamentarische Initiative,1
1990, Parlamentarische Initiative,3
1991, Parlamentarische Initiative,4
1992, Parlamentarische Initiative,5
1993, Parlamentarische Initiative,7
1994, Parlamentarische Initiative,10
1995, Parlamentarische Initiative,6
1996, Parlamentarische Initiative,6
1997, Parlamentarische Initiative,11
1998, Parlamentarische Initiative,8
1999, Parlamentarische Initiative,21
2000, Parlamentarische Initiative,18
2001, Parlamentarische Initiative,10
2002, Parlamentarische Initiative,10
2003, Parlamentarische Initiative,4
2004, Parlamentarische Initiative,25
2005, Parlamentarische Initiative,14
2006, Parlamentarische Initiative,26
2007, Parlamentarische Initiative,23
2008, Parlamentarische Initiative,16
2009, Parlamentarische Initiative,21
2010, Parlamentarische Initiative,22
2011, Parlamentarische Initiative,20
2012, Parlamentarische Initiative,21
2013, Parlamentarische Initiative,32
2014, Parlamentarische Initiative,31
2015, Parlamentarische Initiative,10
2016, Parlamentarische Initiative,22
2017, Parlamentarische Initiative,29
2018, Parlamentarische Initiative,44
